what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605158312
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371605166321
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605174875
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605179417
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605232415
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371605236936
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605242239
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605434007
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371605435394
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1371605437816
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371605438216
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605440158
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605441120
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605441362
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605441574
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605441767
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605441980
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371605444725
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371605447642
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1371605449041
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605452160
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605460541
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605470069
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371605470100
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605477279
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605508167
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371605508916
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371605511546
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605524202
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371605560405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605569665
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605580916
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371605582433
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605587495
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1371605602333
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1371605602523
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605603449
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605616928
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371605624707
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605625826
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605626243
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605629598
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605638578
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371605640231
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605651347
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605651522
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605659499
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605669262
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605671109
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605671317
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605677124
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371605681756
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371605683219
started,bundle,org.eclipse.mylyn.java.tasks,3.4.0.v20100608-0100-e3x,"org.eclipse.mylyn.java.tasks",1371605684900
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605691403
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605691582
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605693581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605715172
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371605715899
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371605716830
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605718405
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605731758
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605743431
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371605748894
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605757944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605786670
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371605788401
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371605789860
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605792001
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605797999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605799737
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605809636
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605809677
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1371605809679
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605814419
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605832748
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371605834623
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605844614
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605878022
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371605879870
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605881419
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371605890753
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605891884
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605896758
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605896925
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605897120
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605900953
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605909105
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371605909933
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605911720
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605916009
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605918523
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605921999
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605924509
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605926760
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605929699
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371605940928
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371605943189
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371605948118
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605958809
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371605981098
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371605982864
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371605984990
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371606005463
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606019648
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606019820
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371606032586
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606043074
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606060818
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606060920
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606061107
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371606063437
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.organize.imports",1371606064470
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371606068221
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606071624
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606073728
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1371606084018
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.undo",1371606085099
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371606093099
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606097673
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606113722
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606123874
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606131036
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1371606136496
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.lineStart",1371606137277
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1371606138780
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1371606140068
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1371606141161
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1371606141440
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371606142461
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371606159395
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606162145
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606191028
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1371606194304
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1371606194605
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1371606197178
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371606203225
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1371606208781
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1371606209269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606242887
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606309795
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1371606311651
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606316334
started,bundle,org.eclipse.cdt.launch,6.1.0.201102110609,"org.eclipse.cdt.launch",1371606373200
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606441715
started,bundle,org.eclipse.pde.build,3.6.2.R36x_20110203,"org.eclipse.pde.build",1371606442351
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606453761
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606584342
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1371606584379
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1371606590776
